Opponent,Line,Our_Score,Their_Score,Event_Type,Act,Passer,Receiver,Defender,Player_0,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player 7,Elapsed Time (secs)
vs Thunderbirds,O,7,4,Offense,Catch,Bob,Fergus,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,2024
vs Thunderbirds,O,7,4,Offense,Catch,Fergus,Bob,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,2028
vs Thunderbirds,O,7,4,Offense,Goal,Bob,Danny,,Jack,Adrian,Shiel,Bob,Fergus,Danny,Cullen,,2034
vs Thunderbirds,D,7,5,Defense,Pull,,,Goose,J Silver,Goose,Max,Kennedy,JSS,Matzuka,Jimmy,,2091
vs Thunderbirds,D,7,5,Defense,Goal,,,Anonymous,J Silver,Goose,Max,Kennedy,JSS,Matzuka,Jimmy,,2149
vs Thunderbirds,O,7,6,Offense,Catch,Adrian,Bob,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2197
vs Thunderbirds,O,7,6,Offense,Catch,Bob,Shiel,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2205
vs Thunderbirds,O,7,6,Offense,Catch,Shiel,Fergus,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2208
vs Thunderbirds,O,7,6,Offense,Catch,Fergus,Adrian,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2212
vs Thunderbirds,O,7,6,Offense,Catch,Adrian,Fergus,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2215
vs Thunderbirds,O,7,6,Offense,Catch,Fergus,Adrian,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2218
vs Thunderbirds,O,7,6,Offense,Catch,Adrian,Bob,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2222
vs Thunderbirds,O,7,6,Offense,Catch,Bob,Cullen,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2225
vs Thunderbirds,O,7,6,Offense,Catch,Cullen,Bob,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2230
vs Thunderbirds,O,7,6,Offense,Catch,Bob,Fergus,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2233
vs Thunderbirds,O,7,6,Offense,Catch,Fergus,Jack,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2236
vs Thunderbirds,O,7,6,Offense,Catch,Jack,Cullen,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2239
vs Thunderbirds,O,7,6,Offense,Catch,Cullen,Danny,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2244
vs Thunderbirds,O,7,6,Offense,Throwaway,Danny,Anonymous,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2251
vs Thunderbirds,O,7,6,Defense,D,,,Fergus,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2282
vs Thunderbirds,O,7,6,Offense,Catch,Fergus,Adrian,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2286
vs Thunderbirds,O,7,6,Offense,Catch,Adrian,Shiel,,Kaufmann,Adrian,Jack,JRob,DW,Cullen,Matzuka,MattSteg,2293
